"sgRNA"	"Gene"	"exp_mock_1"	"exp_mock_2"	"exp_rcVSV_1"	"exp_rcVSV_2"	"exp_hku5_1"	"exp_hku5_2"	"exp_sars2_1"	"exp_sars2_2"	"exp_mers_1"	"exp_mers_2"	"exp_t1015n_1"	"exp_t1015n_2"	"exp_emcv_1"	"exp_emcv_2"	"exp_iav_1"
"HNRNPH3_5"	"HNRNPH3"	1958	2149	1793	1002	434	977	753	690	2842	743	542	1613	4451	5949	1395
"HNRNPH3_6"	"HNRNPH3"	509	648	900	516	381	322	524	503	183	338	183	362	962	394	87
"HNRNPK_2"	"HNRNPK"	669	946	657	493	442	313	386	306	2362	888	921	901	50	423	387
"HNRNPK_3"	"HNRNPK"	271	256	435	326	142	391	216	225	977	388	274	806	3	333	46
"HNRNPK_4"	"HNRNPK"	144	154	55	72	51	55	98	37	56	13	0	66	9	14	0
"HNRNPK_5"	"HNRNPK"	50	35	22	0	1	4	0	0	284	52	0	14	4	50	0
"HNRNPK_6"	"HNRNPK"	296	273	673	481	291	229	518	435	866	287	61	94	81	258	136
"HNRNPK_7"	"HNRNPK"	73	90	129	82	44	118	21	27	264	743	94	261	0	27	0
"HNRNPL_10"	"HNRNPL"	1045	918	704	505	422	530	435	373	1066	578	470	562	635	568	641
"HNRNPL_11"	"HNRNPL"	668	1015	382	247	254	307	193	174	1687	436	1103	2394	362	924	629
"HNRNPL_3"	"HNRNPL"	759	549	367	274	189	242	316	281	700	387	165	486	1482	1295	2337
"HNRNPL_5"	"HNRNPL"	211	159	45	85	217	96	53	86	327	106	152	119	0	115	0
"HNRNPL_6"	"HNRNPL"	785	841	396	313	310	266	216	238	1701	1200	746	911	144	1038	762
"HNRNPL_9"	"HNRNPL"	24	16	11	35	53	3	14	11	103	0	12	0	58	0	0
"HNRNPLL_1"	"HNRNPLL"	925	1098	1040	482	414	518	351	535	1331	828	1899	1625	713	487	890
"HNRNPLL_3"	"HNRNPLL"	1305	1344	2542	1181	1174	990	1180	1518	2608	767	401	1457	1581	1295	746
"HNRNPLL_4"	"HNRNPLL"	704	610	1436	912	597	616	1105	964	1674	653	657	1876	7	324	134
"HNRNPLL_5"	"HNRNPLL"	2012	2121	2767	2509	1397	2026	1497	1612	5361	3584	2975	2849	603	1814	3854
"HNRNPLL_6"	"HNRNPLL"	1802	2025	3707	2499	1732	2136	1986	2166	4504	2466	2855	3841	438	730	1132
"HNRNPLL_7"	"HNRNPLL"	1416	1412	1965	1655	1050	1024	984	1313	2000	1838	1714	2030	200	399	1183
"HNRNPM_10"	"HNRNPM"	148	120	116	66	45	48	46	54	0	0	17	90	10	0	0
"HNRNPM_11"	"HNRNPM"	444	390	365	181	153	174	327	230	341	331	60	377	154	674	25
"HNRNPM_3"	"HNRNPM"	479	479	870	480	316	302	557	551	91	204	60	156	891	88	114
"HNRNPM_4"	"HNRNPM"	804	656	1451	879	707	944	1001	1148	371	115	63	172	314	317	393
"HNRNPM_6"	"HNRNPM"	1911	2370	2173	1058	1028	1210	1107	1257	18880	10482	10853	16878	1365	962	571
"HNRNPM_9"	"HNRNPM"	498	348	1125	362	363	411	441	295	293	203	209	348	74	433	29
"HNRNPR_1"	"HNRNPR"	578	750	631	298	207	244	251	408	863	349	407	929	1166	892	408
"HNRNPR_15"	"HNRNPR"	714	687	206	186	154	206	194	218	793	220	299	778	2761	1457	202
"HNRNPR_16"	"HNRNPR"	1399	1956	3454	2538	1669	2074	1830	1925	5944	2427	2105	2015	230	1750	919
"HNRNPR_4"	"HNRNPR"	313	447	498	403	184	305	403	500	273	326	125	294	324	238	652
"HNRNPR_5"	"HNRNPR"	1674	1939	1740	1229	807	905	946	992	2651	1543	1314	1897	2116	892	468
"HNRNPR_7"	"HNRNPR"	1260	1118	788	414	257	408	407	404	1396	388	386	457	671	1107	1355
"HNRNPU_1"	"HNRNPU"	230	356	414	233	261	194	105	126	196	57	84	150	18	154	525
"HNRNPU_3"	"HNRNPU"	1343	1547	2252	1531	846	823	1434	1365	2719	736	798	1433	882	1954	948
"HNRNPU_4"	"HNRNPU"	127	193	71	142	44	76	74	49	16	16	0	55	3	41	84
"HNRNPU_5"	"HNRNPU"	353	338	724	459	579	291	467	607	337	173	204	155	8	133	361
"HNRNPU_6"	"HNRNPU"	96	150	24	3	9	5	12	4	307	123	148	144	1162	660	324
"HNRNPU_7"	"HNRNPU"	218	204	52	78	87	134	76	173	62	46	110	73	8	35	11
"HNRNPUL1_1"	"HNRNPUL1"	1208	1155	509	327	297	331	342	363	564	751	852	977	972	1283	307
"HNRNPUL1_3"	"HNRNPUL1"	936	931	1424	650	757	806	596	711	889	958	549	1617	982	893	536
"HNRNPUL1_4"	"HNRNPUL1"	1483	1598	3381	3284	1412	1523	3067	3040	1796	1469	563	837	2539	849	675
"HNRNPUL1_5"	"HNRNPUL1"	1280	947	799	603	389	354	460	401	980	481	797	1211	596	771	146
"HNRNPUL1_6"	"HNRNPUL1"	1178	1491	1513	1008	871	729	890	1015	2488	1514	1839	1937	1622	775	933
"HNRNPUL1_7"	"HNRNPUL1"	160	210	259	146	109	117	129	218	576	152	205	477	6	55	0
"HNRNPUL2_1"	"HNRNPUL2"	1410	1417	2086	1250	811	1030	1373	1225	2922	472	950	1668	127	828	473
"HNRNPUL2_2"	"HNRNPUL2"	2071	2321	3240	1761	1293	1394	1783	1935	3775	2223	1900	3872	4759	2317	1744
"HNRNPUL2_3"	"HNRNPUL2"	1381	1396	2024	1324	949	1136	1402	1827	3427	1385	572	1313	3497	2894	1885
"HNRNPUL2_4"	"HNRNPUL2"	1510	1308	2634	1979	905	1063	1268	1837	1742	825	851	3214	4053	1435	1533
"HNRNPUL2_7"	"HNRNPUL2"	111	118	110	36	34	15	41	37	67	8	0	0	14	172	8
"HNRNPUL2_8"	"HNRNPUL2"	1404	1580	2301	1394	1264	1308	1229	1382	2893	931	1690	1687	381	768	294
"HSD17B10_1"	"HSD17B10"	169	205	153	181	371	216	149	105	130	247	94	144	1	139	83
"HSD17B10_2"	"HSD17B10"	286	359	499	465	537	240	291	342	209	238	50	41	9	83	122
"HSD17B10_5"	"HSD17B10"	259	308	492	393	527	185	182	198	67	207	207	115	3	37	426
"HSD17B10_6"	"HSD17B10"	365	475	483	389	522	243	299	342	728	89	63	17	85	318	273
"HSD17B10_7"	"HSD17B10"	538	429	361	301	272	172	223	190	753	155	100	196	158	288	4
"HSD17B10_9"	"HSD17B10"	67	151	112	265	407	50	60	6	52	83	20	55	15	50	0
"HSD17B2_10"	"HSD17B2"	828	926	538	388	360	439	271	566	1661	262	700	498	405	822	698
"HSD17B2_11"	"HSD17B2"	1082	1221	1843	1107	814	928	850	966	2170	606	569	1715	694	1097	664
"HSD17B2_14"	"HSD17B2"	1249	1316	976	462	423	473	594	480	2127	766	1008	1548	2883	3424	1947
"HSD17B2_20"	"HSD17B2"	981	1386	1029	788	532	665	549	511	2569	441	1103	2289	911	1595	974
"HSD17B2_6"	"HSD17B2"	280	246	45	29	27	68	78	163	528	120	147	339	581	1313	201
"HSD17B2_8"	"HSD17B2"	1066	914	1874	881	806	673	814	948	1869	766	869	1396	1364	814	942
"HSD17B4_1"	"HSD17B4"	1823	2182	4584	2678	1976	2491	2605	3714	1506	763	1342	1034	594	541	1540
"HSD17B4_2"	"HSD17B4"	1352	1534	2926	2890	1494	2018	1855	2446	4850	1479	1768	2970	282	570	424
"HSD17B4_4"	"HSD17B4"	547	668	991	749	350	687	331	406	253	444	281	286	233	97	318
"HSD17B4_5"	"HSD17B4"	1970	2074	2367	1840	1130	1421	1256	1665	3585	1713	854	3262	179	1502	1710
"HSD17B4_6"	"HSD17B4"	498	681	572	407	306	305	565	563	527	381	353	94	170	103	167
"HSD17B4_8"	"HSD17B4"	833	787	2804	1126	849	935	1601	1692	1199	442	488	1325	1328	404	780
"HSP90AA1_13"	"HSP90AA1"	2043	2161	1920	1541	877	1199	996	1060	1695	1106	973	1629	2022	5300	3220
"HSP90AA1_18"	"HSP90AA1"	1271	1375	1777	1395	780	1263	1060	1522	5021	3276	1237	2654	1359	1229	912
"HSP90AA1_19"	"HSP90AA1"	479	440	344	260	274	232	247	174	420	147	77	74	306	183	100
"HSP90AA1_4"	"HSP90AA1"	521	581	1411	928	513	580	453	457	1266	287	51	714	87	518	207
"HSP90AA1_7"	"HSP90AA1"	1023	1160	1249	335	606	416	572	644	1275	600	364	1456	13	626	655
"HSP90AA1_8"	"HSP90AA1"	477	435	451	127	292	222	230	221	2764	726	1162	2407	437	390	187
"HSP90AB1_1"	"HSP90AB1"	2198	2725	4599	3166	2446	2975	2220	2083	13681	5520	3256	6819	2146	2519	7030
"HSP90AB1_10"	"HSP90AB1"	388	652	379	346	267	265	406	356	167	54	45	293	8	160	1062
"HSP90AB1_2"	"HSP90AB1"	1436	1584	1610	710	511	638	734	583	5045	1898	1859	2370	7084	3784	3950
"HSP90AB1_5"	"HSP90AB1"	1132	1023	1821	1028	825	940	963	1059	2225	969	550	1245	1278	1176	1852
"HSP90AB1_6"	"HSP90AB1"	996	1144	1165	1020	629	1037	493	545	3019	1485	1498	1196	1023	1198	312
"HSP90AB1_9"	"HSP90AB1"	946	931	620	474	272	364	316	290	4406	1029	1190	1798	173	417	84
"HSP90B1_1"	"HSP90B1"	281	375	369	236	131	349	34	75	319	65	65	109	592	463	89
"HSP90B1_2"	"HSP90B1"	502	536	1002	752	727	685	671	957	919	397	462	272	525	273	39
"HSP90B1_3"	"HSP90B1"	558	434	1045	972	399	672	604	586	1798	1289	328	598	350	634	96
"HSP90B1_4"	"HSP90B1"	675	698	388	241	197	146	125	74	1443	766	538	555	2138	2248	2857
"HSP90B1_5"	"HSP90B1"	1041	1130	1723	1202	1043	1069	1152	1403	1702	906	1554	2655	1812	1116	282
"HSP90B1_6"	"HSP90B1"	313	290	327	118	270	175	216	151	206	235	173	318	57	131	97
"HSPA1B_1"	"HSPA1B"	1206	1491	1295	525	483	436	635	692	2768	663	492	1142	696	776	1006
"HSPA1B_2"	"HSPA1B"	1405	1410	1714	1316	622	823	931	1056	2888	1831	2628	4264	181	490	1281
"HSPA1B_5"	"HSPA1B"	805	860	979	454	314	239	383	328	1270	165	146	568	1541	1589	898
"HSPA1B_6"	"HSPA1B"	943	1240	3456	1649	1446	1454	1160	1437	3621	1953	939	2392	389	737	131
"HSPA1B_7"	"HSPA1B"	2556	2943	3203	2226	1215	1303	1753	1909	2852	2356	1770	2760	1829	2411	1148
"HSPA1B_8"	"HSPA1B"	574	639	2339	1040	957	1039	1408	1229	2321	985	829	1235	216	245	732
"HSPA2_16"	"HSPA2"	1798	1847	2671	1925	1247	1180	2445	2188	3166	1130	2001	1847	331	1040	733
"HSPA2_3"	"HSPA2"	1096	1082	1183	774	679	825	728	712	5749	2387	2510	3845	859	1429	599
"HSPA2_4"	"HSPA2"	3603	3569	6898	4175	2959	3351	5050	4564	3218	1228	1001	1786	5294	3173	5173
"HSPA2_6"	"HSPA2"	2405	2495	3574	2891	2316	2531	1907	2498	2978	1944	1524	2153	3105	2064	2333
"HSPA2_7"	"HSPA2"	1300	1620	1340	1097	518	1041	811	984	1216	689	727	1296	1166	3216	981
"HSPA2_9"	"HSPA2"	2763	3100	2556	1309	1161	1236	1324	1390	11790	7127	5090	5778	3463	1798	2806
"HSPA4_1"	"HSPA4"	920	1119	1563	985	727	755	846	927	833	491	490	572	1373	984	692
"HSPA4_2"	"HSPA4"	400	501	210	103	41	62	110	164	729	93	485	1009	1111	1495	356
"HSPA4_3"	"HSPA4"	1607	1508	1959	1085	803	1099	722	1240	4003	1412	980	1768	1707	2014	863
"HSPA4_4"	"HSPA4"	980	980	818	659	432	542	740	808	2136	941	1965	1707	876	1354	144
"HSPA4_5"	"HSPA4"	840	726	1344	662	511	484	628	562	245	186	187	189	213	271	44
"HSPA4_6"	"HSPA4"	768	749	758	796	262	609	303	369	1334	810	606	1101	153	962	800
"HSPA5_12"	"HSPA5"	131	161	80	45	57	156	126	161	27	37	85	185	1	96	102
"HSPA5_13"	"HSPA5"	282	424	486	456	206	299	328	235	169	230	113	411	149	291	473
"HSPA5_2"	"HSPA5"	140	120	7	60	6	37	64	45	16	0	0	0	717	480	175
"HSPA5_5"	"HSPA5"	208	205	232	148	157	160	105	119	20	194	244	66	155	632	224
"HSPA5_6"	"HSPA5"	227	311	264	161	81	43	92	90	154	41	0	230	2	18	0
"HSPA5_9"	"HSPA5"	707	814	849	644	594	669	791	804	620	496	565	684	188	279	536
"HSPA8_1"	"HSPA8"	1311	1395	630	505	416	398	328	315	2754	1253	1260	735	2680	1269	837
"HSPA8_16"	"HSPA8"	205	186	46	20	31	76	15	7	733	133	276	120	1868	168	33
"HSPA8_3"	"HSPA8"	1061	1394	647	365	313	396	59	164	1864	241	81	269	45	794	2216
"HSPA8_6"	"HSPA8"	571	527	236	208	173	208	150	83	1960	831	459	1342	16	680	466
"HSPA8_8"	"HSPA8"	509	338	196	227	116	125	291	256	1972	216	1091	615	763	450	380
"HSPA8_9"	"HSPA8"	827	807	623	487	235	319	92	150	185	399	189	169	568	188	278
"HSPB1_1"	"HSPB1"	3584	4252	4104	3169	1802	2128	2388	2385	17528	8590	11369	15997	2586	2106	1420
"HSPB1_2"	"HSPB1"	1069	1183	1374	853	858	645	719	933	1533	869	259	530	693	1139	258
"HSPB1_3"	"HSPB1"	2685	3009	2070	1449	1080	1127	1590	1205	1783	1284	1173	1996	2823	4991	5862
"HSPB1_4"	"HSPB1"	4137	4151	4534	3350	2104	2790	3520	3041	8420	3764	3140	4272	2804	3645	3436
"HSPB1_5"	"HSPB1"	2306	2457	4123	2355	1621	2116	2174	2490	3526	1509	1668	2373	4352	2090	1224
"HSPB1_6"	"HSPB1"	973	1173	1088	613	546	844	507	617	5993	1497	1290	2940	322	888	290
"HSPBP1_3"	"HSPBP1"	1075	1258	1179	815	590	663	768	927	2616	938	1089	1406	28	338	694
"HSPBP1_4"	"HSPBP1"	1656	1855	3165	1381	1379	1397	1656	1766	4951	3152	2509	4360	2696	2134	1889
"HSPBP1_5"	"HSPBP1"	1883	2176	2108	1973	1044	1278	1401	1460	2168	1738	1431	610	1540	2471	1190
"HSPBP1_6"	"HSPBP1"	705	859	691	626	296	522	521	415	661	254	342	437	4249	3384	1732
"HSPBP1_8"	"HSPBP1"	1254	1420	1432	731	685	664	762	781	3565	1740	984	1586	933	1049	1935
"HSPBP1_9"	"HSPBP1"	1770	1920	2823	1376	1468	1036	1194	1080	1402	1126	1543	1560	3647	3575	573
"HSPH1_10"	"HSPH1"	807	774	510	356	263	287	238	303	1178	653	1082	1560	723	775	10
"HSPH1_11"	"HSPH1"	503	556	266	213	185	234	79	93	279	344	244	593	18	318	131
"HSPH1_2"	"HSPH1"	829	786	810	381	465	444	357	347	686	384	55	84	5	347	575
"HSPH1_5"	"HSPH1"	659	866	406	275	131	321	160	182	806	323	175	676	399	342	422
"HSPH1_6"	"HSPH1"	1020	1262	1625	926	808	684	906	1018	879	709	1783	802	1983	1016	440
"HSPH1_8"	"HSPH1"	1299	1377	1630	862	841	879	599	801	2118	1156	500	823	730	1722	1994
"HTATIP2_17"	"HTATIP2"	1647	2019	3067	1888	1522	1445	2076	2083	2779	1216	641	1716	802	1541	2558
"HTATIP2_18"	"HTATIP2"	1190	1297	2080	1189	846	917	1080	1319	2297	778	1155	1179	624	788	2615
"HTATIP2_2"	"HTATIP2"	555	630	939	478	347	275	481	507	725	426	392	1308	626	555	860
"HTATIP2_20"	"HTATIP2"	1861	1926	3006	1741	1372	1537	1297	1659	3793	1948	1103	2056	4516	2643	3770
"HTATIP2_25"	"HTATIP2"	2095	2236	2901	1864	1328	1500	1379	1842	2645	1486	636	1794	2817	2445	672
"HTATIP2_5"	"HTATIP2"	588	532	851	671	446	492	640	750	762	660	687	1318	257	723	541
"HUNK_1"	"HUNK"	622	804	1892	1035	859	706	973	1196	977	401	263	549	172	649	1964
"HUNK_10"	"HUNK"	2671	2414	2220	1326	1369	1444	1508	1401	2804	1940	2200	2086	4185	4219	4099
"HUNK_15"	"HUNK"	569	592	702	300	452	366	700	658	379	294	128	459	556	1851	565
"HUNK_16"	"HUNK"	2065	2333	2320	1596	1387	1445	1573	1825	3364	1375	1439	2397	6485	3359	1367
"HUNK_2"	"HUNK"	1439	1176	1991	1231	575	734	1413	1348	1635	1239	430	1178	2244	1604	1321
"HUNK_3"	"HUNK"	1082	701	1233	679	650	679	826	787	863	574	234	443	2158	1524	1702
"IARS1_1"	"IARS1"	55	110	101	95	45	66	61	160	110	34	237	415	2	17	0
"IARS1_2"	"IARS1"	2248	2767	2926	1486	1369	1572	1675	1541	4801	1931	1177	2544	3483	2083	885
"IARS1_3"	"IARS1"	1613	1643	1963	1216	1044	1286	929	924	2848	1434	1474	927	207	747	321
"IARS1_4"	"IARS1"	1374	1057	1722	790	821	735	602	644	1764	798	949	1390	260	1157	354
"IARS1_5"	"IARS1"	338	383	381	315	324	198	134	75	178	137	56	340	0	17	308
"IARS1_6"	"IARS1"	305	319	189	246	146	169	217	188	791	497	552	499	94	151	213
"IDH1_1"	"IDH1"	565	654	361	294	171	305	171	246	1295	765	1259	1021	3784	1036	1306
"IDH1_4"	"IDH1"	1399	1732	3361	2459	1440	1655	1926	1449	8049	2884	3769	4912	55	632	462
"IDH1_6"	"IDH1"	1089	887	2235	1329	744	864	1224	1016	2591	772	1232	1726	442	1293	2086
"IDH1_7"	"IDH1"	883	1059	2036	1165	970	965	962	1008	1584	567	560	1144	738	716	834
"IDH1_8"	"IDH1"	889	847	2389	1716	941	1495	1134	1551	3071	1948	1232	2205	674	593	1278
"IDH1_9"	"IDH1"	769	565	1422	989	610	667	853	1030	1399	1135	501	2006	197	354	337
"IDH3B_1"	"IDH3B"	1469	1719	2878	1523	1544	1879	1962	1987	6183	3171	3484	4501	4125	1481	845
"IDH3B_2"	"IDH3B"	533	581	283	272	100	79	166	154	1007	331	244	306	1217	1584	656
"IDH3B_3"	"IDH3B"	3165	3668	5776	3163	2500	2784	3036	3231	5940	3146	3119	4832	8674	2643	2257
"IDH3B_5"	"IDH3B"	2243	2352	4507	2851	2254	2405	2556	3013	3008	1731	1278	3055	540	1613	1315
"IDH3B_6"	"IDH3B"	1759	1670	3210	1653	1292	1622	1712	2356	2167	973	1922	2141	2135	1758	1489
"IDH3B_7"	"IDH3B"	2051	2518	4010	2043	1473	2143	1942	1907	4492	2379	4246	2965	338	1245	2128
"IDH3G_18"	"IDH3G"	2702	2682	2802	1552	1326	1907	1699	1643	5039	2405	1410	3205	3999	3544	2428
"IDH3G_2"	"IDH3G"	2454	2428	4208	2508	1694	2281	1960	2378	5017	1693	1244	2070	3082	3336	3339
"IDH3G_22"	"IDH3G"	1529	1650	1733	953	1046	1088	691	976	4613	2205	1286	1802	1516	2902	959
"IDH3G_24"	"IDH3G"	1195	1092	1528	1134	789	970	1088	810	2608	678	653	1426	2195	652	1224
"IDH3G_27"	"IDH3G"	1010	1210	1858	949	984	907	843	1097	1158	1022	408	1075	1117	1302	943
"IDH3G_5"	"IDH3G"	1636	1624	2800	2183	1441	1844	1764	1592	2540	1965	875	1497	2595	1971	1703
"IDI1_13"	"IDI1"	348	439	574	394	195	206	242	295	660	227	23	382	3	205	438
"IDI1_16"	"IDI1"	163	205	51	66	42	42	59	20	171	33	37	130	3	157	0
"IDI1_18"	"IDI1"	32	31	75	31	8	10	61	19	0	0	40	17	0	37	69
"IDI1_19"	"IDI1"	218	294	28	50	78	7	44	75	603	311	229	763	1	114	45
"IDI1_22"	"IDI1"	327	292	1437	1056	557	653	899	962	125	74	231	58	21	105	601
"IDI1_7"	"IDI1"	615	736	1229	505	592	501	688	640	1314	556	342	586	490	1037	720
"IGBP1_10"	"IGBP1"	675	687	552	285	305	283	195	197	982	358	176	712	337	764	414
"IGBP1_18"	"IGBP1"	585	611	624	240	357	277	343	255	967	464	367	631	185	1019	224
"IGBP1_5"	"IGBP1"	27	33	0	11	5	34	27	56	0	42	0	43	0	0	0
"IGBP1_7"	"IGBP1"	111	170	345	70	89	100	97	104	141	238	0	385	7	119	0
"IGBP1_8"	"IGBP1"	590	605	1560	1185	727	917	2067	2117	1625	792	368	368	80	383	1053
"IGBP1_9"	"IGBP1"	550	684	213	176	146	149	167	164	391	643	72	558	608	1320	199
"IGF2BP1_1"	"IGF2BP1"	453	433	321	279	146	164	208	143	903	293	282	491	8	393	421
"IGF2BP1_12"	"IGF2BP1"	760	753	1726	879	675	650	1258	1130	1223	494	586	615	580	219	1
"IGF2BP1_2"	"IGF2BP1"	2031	2245	4665	2577	1656	1964	2551	2213	5027	2149	1379	4246	605	1046	984
"IGF2BP1_4"	"IGF2BP1"	780	571	205	122	120	179	182	119	788	517	511	769	1333	502	1424
"IGF2BP1_5"	"IGF2BP1"	2471	2325	2325	1376	1052	1238	1051	1201	5005	2041	3033	3937	580	2036	938
"IGF2BP1_8"	"IGF2BP1"	1293	1157	1650	1009	743	1035	1019	1371	2041	887	674	960	1439	729	1115
"IGF2BP2_2"	"IGF2BP2"	2077	2431	2724	1348	1108	1074	1207	1717	4303	1961	1497	1936	814	2300	4303
"IGF2BP2_3"	"IGF2BP2"	861	826	1150	597	411	768	566	547	237	763	209	206	77	524	219
"IGF2BP2_4"	"IGF2BP2"	982	982	1450	1240	827	830	1171	1323	2317	1259	1076	1566	3006	1539	346
"IGF2BP2_6"	"IGF2BP2"	436	526	132	137	141	57	51	55	854	182	160	147	154	598	194
"IGF2BP2_7"	"IGF2BP2"	982	962	1016	1193	636	880	770	987	463	123	259	810	1617	1126	978
"IGF2BP2_8"	"IGF2BP2"	1086	1366	3218	1879	1162	1264	1846	1731	2792	1262	591	995	209	636	652
"IGF2BP3_2"	"IGF2BP3"	1153	1359	3293	2304	1640	1731	1989	2210	1680	864	807	990	15	586	505
"IGF2BP3_4"	"IGF2BP3"	1489	1729	3481	1956	1407	1566	1920	1988	3911	2430	1192	2655	1065	1545	1411
"IGF2BP3_5"	"IGF2BP3"	2254	2215	4091	2724	1984	2212	3308	2861	2014	1197	838	2759	2757	1935	2502
"IGF2BP3_7"	"IGF2BP3"	892	957	724	396	278	454	303	324	826	339	529	495	1019	591	288
"IGF2BP3_8"	"IGF2BP3"	545	359	310	251	224	221	227	357	179	143	131	322	785	491	157
"IGF2BP3_9"	"IGF2BP3"	2348	2780	6123	3907	2495	2812	4695	4402	4665	866	852	1742	3891	3626	2338
"IL36G_1"	"IL36G"	1522	1631	1147	991	382	576	559	433	4912	2687	3350	4999	6397	3501	3195
"IL36G_11"	"IL36G"	1142	1061	472	370	381	380	442	407	1342	646	121	1017	1648	2256	474
"IL36G_2"	"IL36G"	402	565	520	327	113	165	218	141	840	801	516	591	335	576	92
"IL36G_3"	"IL36G"	1824	1635	2425	1695	915	1048	1907	1599	2341	822	800	1403	626	1471	184
"IL36G_7"	"IL36G"	1135	1179	2243	1393	1076	1317	997	891	4981	2235	2427	4690	582	737	568
"IL36G_8"	"IL36G"	1298	1089	1627	1258	741	820	1162	833	897	393	337	306	5207	1726	1416
"ILF2_1"	"ILF2"	1225	1287	1261	907	1047	852	1099	1190	588	366	114	337	240	1038	930
"ILF2_2"	"ILF2"	44	71	5	13	18	8	26	21	17	0	8	0	8	99	0
"ILF2_5"	"ILF2"	368	381	101	227	147	140	72	40	309	184	48	102	1675	74	266
"ILF2_6"	"ILF2"	211	142	217	165	164	315	83	147	759	145	108	248	1	102	67
"ILF2_8"	"ILF2"	701	812	1311	628	653	675	590	774	251	192	58	370	33	373	1088
"ILF2_9"	"ILF2"	172	166	195	183	87	223	98	191	657	175	257	501	10	49	327
"ILF3_1"	"ILF3"	94	144	141	71	112	34	109	162	21	210	171	137	2	42	32
"ILF3_2"	"ILF3"	212	381	448	244	143	216	215	265	194	122	27	173	539	372	563
"ILF3_3"	"ILF3"	67	15	76	75	25	101	49	126	72	91	43	42	0	23	0
"ILF3_5"	"ILF3"	748	839	1056	481	549	702	821	869	1085	319	158	603	788	260	299
"ILF3_6"	"ILF3"	219	257	191	196	116	95	87	22	88	175	217	267	1177	157	310
"ILF3_7"	"ILF3"	130	230	102	70	88	91	155	184	164	82	24	1174	0	17	5
"IMMT_1"	"IMMT"	1595	1619	4188	2326	1763	1625	1909	2005	2712	942	544	1678	1082	809	1744
"IMMT_10"	"IMMT"	788	831	1165	1024	931	812	514	825	2648	464	1165	1171	82	292	343
"IMMT_3"	"IMMT"	503	734	461	246	333	291	272	300	896	247	340	874	383	487	380
"IMMT_4"	"IMMT"	884	877	620	678	507	318	238	411	927	828	569	1271	38	371	273
"IMMT_7"	"IMMT"	1287	1402	3551	2457	1231	1198	1958	2192	3577	1454	1094	1934	2376	1192	653
"IMMT_8"	"IMMT"	512	491	404	397	410	202	165	313	736	213	142	138	209	234	209
"IMPA2_10"	"IMPA2"	2109	2522	3093	2249	1605	1731	1901	1904	5453	2417	2612	3331	5784	4651	1558
"IMPA2_11"	"IMPA2"	1390	1634	2136	1046	858	877	1243	1441	2241	1305	167	706	1695	3421	2662
"IMPA2_3"	"IMPA2"	2226	2669	3773	2252	1673	2015	1388	1510	1959	1578	1257	1220	767	1376	1264
"IMPA2_5"	"IMPA2"	1982	2008	3848	1828	1796	1800	2196	2176	1190	1169	959	536	527	1314	1460
"IMPA2_6"	"IMPA2"	1024	1109	1587	1183	674	761	881	1026	1438	548	518	574	1242	649	495
"IMPA2_7"	"IMPA2"	1080	1296	1482	859	596	887	662	460	3898	1306	1885	2339	112	1421	1607
"IMPDH2_10"	"IMPDH2"	914	940	462	510	214	337	231	301	963	334	201	540	756	681	405
"IMPDH2_11"	"IMPDH2"	233	319	180	126	45	47	102	83	236	95	163	84	4	256	391
"IMPDH2_2"	"IMPDH2"	1269	1389	1493	878	673	1004	593	683	2113	705	912	943	387	1006	527
"IMPDH2_3"	"IMPDH2"	574	603	344	252	191	233	119	195	695	246	304	399	308	276	277
"IMPDH2_8"	"IMPDH2"	831	1233	990	460	414	355	296	275	1048	857	245	737	468	683	937
"IMPDH2_9"	"IMPDH2"	729	774	1848	1265	827	1194	549	712	842	806	318	211	549	130	67
"INF2_10"	"INF2"	650	778	427	158	192	176	164	219	758	198	191	913	2163	742	65
"INF2_12"	"INF2"	1632	1664	522	714	284	309	327	277	3882	1561	1517	1524	1680	2449	1136
"INF2_14"	"INF2"	581	622	502	201	245	184	218	229	792	416	654	763	1217	168	226
"INF2_4"	"INF2"	1409	1485	2341	1606	1045	918	1209	1399	2355	994	1384	2191	1635	802	809
"INF2_6"	"INF2"	1198	1188	1266	948	449	581	842	749	1622	758	452	1937	1043	1143	140
"INF2_8"	"INF2"	2663	2358	5366	2882	2169	2230	2493	2852	3274	1546	1380	2297	4098	2982	1696
"IPO5_1"	"IPO5"	454	580	871	393	402	311	203	271	718	167	176	54	10	588	281
"IPO5_2"	"IPO5"	390	311	688	286	226	226	217	292	973	181	82	522	0	33	3
"IPO5_4"	"IPO5"	536	653	571	480	362	339	222	289	1453	756	464	1444	1199	237	70
"IPO5_5"	"IPO5"	67	40	0	0	1	2	0	0	0	10	10	25	2	0	6
"IPO5_7"	"IPO5"	801	901	1095	685	553	736	568	466	1305	1520	1004	773	1235	1119	1402
"IPO5_9"	"IPO5"	438	405	523	412	161	291	419	222	966	833	408	988	453	860	180
"IPO7_2"	"IPO7"	118	96	0	10	5	0	14	4	0	19	0	72	180	421	699
"IPO7_3"	"IPO7"	349	377	825	695	355	584	400	453	2190	746	1583	2194	4	291	97
"IPO7_4"	"IPO7"	2972	3173	3921	3265	1925	2075	2810	2397	3855	1904	2157	3138	1961	2671	6084
"IPO7_6"	"IPO7"	74	119	214	16	44	65	75	51	0	0	0	25	6	11	155
"IPO7_7"	"IPO7"	541	738	850	564	346	335	390	362	1964	1164	733	999	3146	225	187
