"sgRNA"	"Gene"	"exp_mock_1"	"exp_mock_2"	"exp_rcVSV_1"	"exp_rcVSV_2"	"exp_hku5_1"	"exp_hku5_2"	"exp_sars2_1"	"exp_sars2_2"	"exp_mers_1"	"exp_mers_2"	"exp_t1015n_1"	"exp_t1015n_2"	"exp_emcv_1"	"exp_emcv_2"	"exp_iav_1"
"EDC4_6"	"EDC4"	346	349	720	233	212	148	219	234	446	252	427	428	93	493	215
"EDC4_7"	"EDC4"	1785	1925	3561	2092	2005	1958	2678	2927	2264	1723	1467	1533	200	1032	1035
"EDC4_8"	"EDC4"	691	845	298	339	255	351	199	344	985	189	115	438	1114	749	294
"EDF1_2"	"EDF1"	1892	1967	2390	1434	955	1174	1317	1240	1500	1030	1536	1661	2325	1458	907
"EDF1_3"	"EDF1"	700	742	1401	671	634	898	663	694	2745	1578	2065	3069	283	973	137
"EDF1_4"	"EDF1"	2355	2739	1863	1368	765	1080	729	1001	3024	1652	982	2521	6247	3331	3072
"EDF1_7"	"EDF1"	1716	1416	2378	1451	968	1152	1483	1438	2181	981	1816	2005	1378	1724	583
"EDF1_8"	"EDF1"	655	706	693	434	204	341	165	325	708	464	225	482	1500	1568	767
"EDF1_9"	"EDF1"	1653	1835	2819	1930	1407	1408	1402	1588	3842	1879	1498	2192	3319	1469	333
"EEF1A1_1"	"EEF1A1"	477	505	696	382	225	377	331	276	778	362	74	12	1256	396	80
"EEF1A1_10"	"EEF1A1"	845	860	1559	1285	1086	1161	793	1053	5386	2742	2071	1763	20	592	1044
"EEF1A1_4"	"EEF1A1"	1708	1860	3138	2103	1605	1493	1952	2307	3074	1243	899	1612	945	1112	972
"EEF1A1_5"	"EEF1A1"	201	252	165	166	68	96	65	37	99	77	62	132	5	47	261
"EEF1A1_7"	"EEF1A1"	86	42	0	23	32	37	0	0	81	21	12	98	2	35	0
"EEF1A1_8"	"EEF1A1"	250	207	93	170	73	103	185	183	10	53	43	118	17	497	0
"EEF1A2_1"	"EEF1A2"	2317	2327	2487	1723	1326	1176	1343	1606	3666	2029	825	2227	8052	5971	625
"EEF1A2_3"	"EEF1A2"	496	336	201	226	90	182	265	289	249	179	61	240	393	1324	132
"EEF1A2_5"	"EEF1A2"	696	652	1270	791	633	821	440	569	816	671	178	643	2356	864	161
"EEF1A2_7"	"EEF1A2"	1717	2140	2828	2748	1945	1739	1711	1981	4076	1089	1126	2965	4887	3547	3126
"EEF1A2_8"	"EEF1A2"	1341	1666	1288	824	748	778	865	699	2358	1124	2420	1763	399	1074	1478
"EEF1A2_9"	"EEF1A2"	1177	1262	981	1055	697	818	882	670	2269	1116	670	1596	107	421	666
"EEF1B2_10"	"EEF1B2"	634	648	868	743	494	623	518	626	662	216	490	410	90	534	854
"EEF1B2_19"	"EEF1B2"	724	816	1068	694	644	638	820	699	682	713	590	956	449	415	568
"EEF1B2_4"	"EEF1B2"	291	258	418	291	388	354	217	209	1211	495	69	547	201	61	77
"EEF1B2_7"	"EEF1B2"	224	340	277	254	161	231	216	254	400	407	246	174	3	279	6
"EEF1B2_8"	"EEF1B2"	346	348	720	168	91	214	202	513	37	180	166	421	168	57	24
"EEF1B2_9"	"EEF1B2"	1048	1309	763	341	370	412	405	466	2664	964	1057	1156	1166	1358	649
"EEF1D_10"	"EEF1D"	1757	1740	5540	3412	1930	2500	4106	4275	2257	617	757	1705	991	912	1130
"EEF1D_11"	"EEF1D"	1394	1669	763	556	332	368	273	324	3491	1080	522	2098	4743	2396	773
"EEF1D_13"	"EEF1D"	1770	2034	2660	1821	1450	1044	1877	1703	4949	2643	2910	2609	5899	7824	2431
"EEF1D_2"	"EEF1D"	2096	2539	5837	3596	2223	2954	4653	5018	6637	3158	3351	5592	1222	3532	1566
"EEF1D_3"	"EEF1D"	1588	1782	2551	1495	959	1144	1227	1170	2009	1093	827	1133	2783	595	1232
"EEF1D_7"	"EEF1D"	1065	1363	1765	879	501	626	989	870	3332	591	935	733	591	1075	795
"EEF1E1_11"	"EEF1E1"	93	156	57	104	56	42	65	145	1	0	51	0	0	169	475
"EEF1E1_14"	"EEF1E1"	1192	1380	802	228	263	275	331	234	564	726	196	174	5383	4205	2391
"EEF1E1_15"	"EEF1E1"	400	352	886	493	362	330	753	445	1189	422	526	648	1	61	1
"EEF1E1_2"	"EEF1E1"	134	173	405	44	222	298	178	84	49	85	86	27	61	121	0
"EEF1E1_5"	"EEF1E1"	266	265	126	47	89	106	148	165	942	135	126	224	132	618	271
"EEF1E1_7"	"EEF1E1"	144	126	182	85	102	88	45	140	56	35	0	0	0	32	4
"EEF1G_1"	"EEF1G"	283	312	638	665	447	319	709	890	140	137	45	70	9	180	331
"EEF1G_2"	"EEF1G"	127	160	359	215	89	176	119	158	611	525	391	822	42	113	157
