"sgRNA"	"Gene"	"mito_mock_1"	"mito_mock_2"	"mito_rcVSV_1"	"mito_rcVSV_2"	"mito_hku5_1"	"mito_hku5_2"	"mito_sars2_1"	"mito_sars2_2"	"mito_mers_1"	"mito_mers_2"	"mito_t1015n_1"	"mito_t1015n_2"	"mito_emcv_1"	"mito_emcv_2"	"mito_iav_1"	"mito_iav_2"
"COX7A2_6"	"COX7A2"	1170	1312	478	1950	1330	1772	1253	1870	1425	872	1023	925	579	666	457	12
"COX7B_1"	"COX7B"	312	452	324	1070	521	865	784	647	315	51	206	436	29	197	38	1
"COX7B_2"	"COX7B"	781	798	369	1601	1181	1442	1000	1369	3108	1258	1262	1699	200	221	1067	26
"COX7B_3"	"COX7B"	534	474	116	583	370	429	261	329	555	160	201	62	85	124	642	416
"COX7B_4"	"COX7B"	900	1277	509	2109	1105	1507	1871	2199	1472	684	861	1759	1090	58	269	18
"COX7B_5"	"COX7B"	2235	2651	1077	3975	2398	3199	3444	2632	2780	1611	3099	1966	5317	1457	2174	967
"COX7B_6"	"COX7B"	1702	1976	967	2513	1956	2649	2425	3105	1088	405	1067	875	2028	818	1345	715
"COX7B2_1"	"COX7B2"	1690	2104	907	2807	2999	2601	3083	2918	1726	1046	1309	1924	2021	922	1064	1732
"COX7B2_2"	"COX7B2"	1748	2122	1071	2869	2379	2624	2584	2260	3909	1800	2860	2377	1831	1518	732	458
"COX7B2_3"	"COX7B2"	2245	2745	1454	4978	3105	3831	4527	3985	4048	2518	3833	3294	4164	1294	3827	561
"COX7B2_4"	"COX7B2"	1134	1461	619	2002	1749	1666	1553	1808	1371	622	1269	1137	1411	993	707	437
"COX7B2_5"	"COX7B2"	541	544	72	153	203	292	113	236	221	86	303	321	1453	150	1213	723
"COX7B2_6"	"COX7B2"	1649	2113	885	2604	2502	2391	1980	2574	994	448	1166	562	1269	1441	1555	705
"COX7C_1"	"COX7C"	272	386	120	276	270	790	478	368	670	209	459	400	10	268	381	661
"COX7C_2"	"COX7C"	1336	1388	695	1756	1369	1406	1703	1444	1439	476	2080	1229	8707	851	459	1263
"COX7C_3"	"COX7C"	657	559	461	968	806	1267	766	891	555	259	430	456	21	102	199	616
"COX7C_4"	"COX7C"	122	89	16	78	56	108	34	182	54	36	55	146	1277	17	274	7
"COX7C_5"	"COX7C"	411	530	485	1542	995	917	778	792	977	469	503	519	415	32	294	2010
"COX7C_6"	"COX7C"	28	52	0	7	0	65	105	13	2	0	3	7	0	0	0	0
"COX8A_1"	"COX8A"	1435	1714	478	2154	1643	1502	1265	1716	1803	1200	1798	1862	1925	268	1932	4856
"COX8A_2"	"COX8A"	1740	1911	866	2538	2352	2922	1920	2391	3119	1024	1375	1953	5054	701	675	1259
"COX8A_3"	"COX8A"	2099	2839	1011	2904	2368	3147	2906	3082	3165	1474	1825	3604	596	394	5390	2900
"COX8A_4"	"COX8A"	368	478	61	452	366	313	250	177	108	207	445	83	28	106	286	97
"COX8A_5"	"COX8A"	1968	2525	728	2400	1790	1737	1694	2526	1356	1065	1267	1375	8713	2104	1808	2004
"COX8A_6"	"COX8A"	668	787	406	1433	912	1154	1071	1389	1523	535	1339	961	4058	1902	470	31
